circuit,tournament,country,year,date,gender,match_num,w_player1,w_p1_birthdate,w_p1_age,w_p1_hgt,w_p1_country,w_player2,w_p2_birthdate,w_p2_age,w_p2_hgt,w_p2_country,w_rank,l_player1,l_p1_birthdate,l_p1_age,l_p1_hgt,l_p1_country,l_player2,l_p2_birthdate,l_p2_age,l_p2_hgt,l_p2_country,l_rank,score,duration,bracket,round,w_p1_tot_attacks,w_p1_tot_kills,w_p1_tot_errors,w_p1_tot_hitpct,w_p1_tot_aces,w_p1_tot_serve_errors,w_p1_tot_blocks,w_p1_tot_digs,w_p2_tot_attacks,w_p2_tot_kills,w_p2_tot_errors,w_p2_tot_hitpct,w_p2_tot_aces,w_p2_tot_serve_errors,w_p2_tot_blocks,w_p2_tot_digs,l_p1_tot_attacks,l_p1_tot_kills,l_p1_tot_errors,l_p1_tot_hitpct,l_p1_tot_aces,l_p1_tot_serve_errors,l_p1_tot_blocks,l_p1_tot_digs,l_p2_tot_attacks,l_p2_tot_kills,l_p2_tot_errors,l_p2_tot_hitpct,l_p2_tot_aces,l_p2_tot_serve_errors,l_p2_tot_blocks,l_p2_tot_digs
FIVB,Stare Jablonki,Poland,2009,2009-08-03,W,41,Juliana Felisberta,1983-07-22,26.0342231,70,Brazil,Larissa Franca,1982-04-14,27.3045859,69,Brazil,1,Ilka Semmler,1985-09-08,23.9014374,72,Germany,Katrin Holtwick,1984-04-10,25.3141684,69,Germany,8,"21-11, 25-23",00:44:00,Winner's Bracket,Round 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Stare Jablonki,Poland,2009,2009-08-03,W,42,Doris Schwaiger,1985-02-28,24.4271047,68,Austria,Stefanie Schwaiger,1986-08-07,22.9897331,72,Austria,5,Barbara Hansel,1983-09-18,25.8754278,73,Austria,Sara Montagnolli,1978-12-02,30.6694045,67,Austria,4,"21-17, 23-21",00:41:00,Winner's Bracket,Round 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Stare Jablonki,Poland,2009,2009-08-03,W,43,Angela Lavalle,1981-04-24,28.2765229,69,Brazil,Vivian Cunha,1980-06-14,29.1362081,70,Azerbaijan,"11, Q9",Ana Paula Henkel,1972-02-13,37.4702259,72,Brazil,Shelda Bede,1973-01-01,36.5859001,65,Brazil,3,"21-19, 21-19",00:42:00,Winner's Bracket,Round 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Stare Jablonki,Poland,2009,2009-08-03,W,44,Maria Antonelli,1984-02-25,25.4373717,69,Brazil,Talita Antunes,1982-08-29,26.9295003,71,Brazil,2,Becchara Palmer,1988-06-18,21.1252567,72,Australia,Louise Bawden,1981-08-07,27.9890486,72,Australia,"26, Q3","21-19, 21-17",00:39:00,Winner's Bracket,Round 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Stare Jablonki,Poland,2009,2009-08-03,W,53,Juliana Felisberta,1983-07-22,26.0342231,70,Brazil,Larissa Franca,1982-04-14,27.3045859,69,Brazil,1,Doris Schwaiger,1985-02-28,24.4271047,68,Austria,Stefanie Schwaiger,1986-08-07,22.9897331,72,Austria,5,"21-16, 21-12",00:41:00,Winner's Bracket,Round 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Stare Jablonki,Poland,2009,2009-08-03,W,54,Angela Lavalle,1981-04-24,28.2765229,69,Brazil,Vivian Cunha,1980-06-14,29.1362081,70,Azerbaijan,"11, Q9",Maria Antonelli,1984-02-25,25.4373717,69,Brazil,Talita Antunes,1982-08-29,26.9295003,71,Brazil,2,"21-18, 21-17",00:44:00,Winner's Bracket,Round 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Stare Jablonki,Poland,2009,2009-08-03,W,25,Isabelle Forrer,1982-03-28,27.3511294,70,Switzerland,Sarah Schmocker,1984-04-01,25.338809,70,Switzerland,17,Daria Paszek,1991-08-30,17.927447,73,Poland,Renata Bekier,1991-02-03,18.4969199,70,Poland,32,"21-13, 22-20",00:44:00,Contender's Bracket,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Stare Jablonki,Poland,2009,2009-08-03,W,26,Galyna Osheyko,1979-03-23,30.3655031,69,Ukraine,Svitlana Baburina,1985-03-18,24.3778234,71,Ukraine,25,Lotte Vestergaard,1980-02-12,29.4729637,72,Denmark,Stine Andreasen,1984-04-12,25.3086927,69,Denmark,"24, Q5","21-14, 21-10",00:29:00,Contender's Bracket,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Stare Jablonki,Poland,2009,2009-08-03,W,27,Alice Rohkamper,1988-09-04,20.9117043,69,Australia,Heike Jensen,1984-10-27,24.7665982,73,Australia,"21, Q10",Angelica Ljungquist,1974-12-20,34.6201232,75,Sweden,Karin Lundqvist,1981-10-05,27.8275154,74,Sweden,28,"23-21, 21-15",00:44:00,Contender's Bracket,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Stare Jablonki,Poland,2009,2009-08-03,W,28,Daniela Gioria,1979-07-04,30.0835044,71,Italy,Giulia Momoli,1981-08-30,27.926078,72,Italy,13,Madelein Meppelink,1989-11-29,19.6769336,72,Netherlands,Margo Wiltens,1987-05-28,22.1848049,68,Netherlands,"29, Q17","15-21, 21-17, 15-9",00:40:00,Contender's Bracket,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
